Entity,Code,Year,Regional female to male years schooling (Lee-Lee (2016))
Advanced Economies,,1870,74.4576
Advanced Economies,,1875,76.92046
Advanced Economies,,1880,74.92967
Advanced Economies,,1885,78.5665
Advanced Economies,,1890,77.19675
Advanced Economies,,1895,81.50023
Advanced Economies,,1900,82.89312
Advanced Economies,,1905,83.96079
Advanced Economies,,1910,84.39023
Advanced Economies,,1915,86.22112
Advanced Economies,,1920,89.54569
Advanced Economies,,1925,92.39168
Advanced Economies,,1930,94.65426
Advanced Economies,,1935,95.20206
Advanced Economies,,1940,96.37786
Advanced Economies,,1945,96.73061
Advanced Economies,,1950,94.20608
Advanced Economies,,1955,94.04594
Advanced Economies,,1960,94.78143
Advanced Economies,,1965,94.78578
Advanced Economies,,1970,94.68457
Advanced Economies,,1975,94.27596
Advanced Economies,,1980,95.03015
Advanced Economies,,1985,96.56259
Advanced Economies,,1990,96.98989
Advanced Economies,,1995,97.15469
Advanced Economies,,2000,98.07572
Advanced Economies,,2005,99.22068
Advanced Economies,,2010,99.99858
Asia and the Pacific,,1870,30.04064
Asia and the Pacific,,1875,25.44332
Asia and the Pacific,,1880,22.84131
Asia and the Pacific,,1885,17.0367
Asia and the Pacific,,1890,14.30141
Asia and the Pacific,,1895,13.02516
Asia and the Pacific,,1900,14.30075
Asia and the Pacific,,1905,15.91014
Asia and the Pacific,,1910,16.95668
Asia and the Pacific,,1915,20.63757
Asia and the Pacific,,1920,29.8062
Asia and the Pacific,,1925,28.28355
Asia and the Pacific,,1930,27.02677
Asia and the Pacific,,1935,26.60637
Asia and the Pacific,,1940,46.7611
Asia and the Pacific,,1945,44.53684
Asia and the Pacific,,1950,46.75366
Asia and the Pacific,,1955,48.72198
Asia and the Pacific,,1960,52.85789
Asia and the Pacific,,1965,58.08843
Asia and the Pacific,,1970,63.89221
Asia and the Pacific,,1975,66.25009
Asia and the Pacific,,1980,69.34769
Asia and the Pacific,,1985,74.98585
Asia and the Pacific,,1990,80.13951
Asia and the Pacific,,1995,76.55644
Asia and the Pacific,,2000,75.94535
Asia and the Pacific,,2005,80.10808
Asia and the Pacific,,2010,84.07307
Eastern Europe,,1870,67.97205
Eastern Europe,,1875,68.00023
Eastern Europe,,1880,68.99456
Eastern Europe,,1885,69.17495
Eastern Europe,,1890,70.70409
Eastern Europe,,1895,73.32612
Eastern Europe,,1900,68.64681
Eastern Europe,,1905,65.59886
Eastern Europe,,1910,67.64238
Eastern Europe,,1915,67.96551
Eastern Europe,,1920,71.04899
Eastern Europe,,1925,75.63246
Eastern Europe,,1930,79.10544
Eastern Europe,,1935,81.43148
Eastern Europe,,1940,80.83611
Eastern Europe,,1945,81.20117
Eastern Europe,,1950,81.39036
Eastern Europe,,1955,82.2713
Eastern Europe,,1960,83.69839
Eastern Europe,,1965,83.16256
Eastern Europe,,1970,85.20955
