Categoría: Todas las categorías

Región,Club América: (22/4/20 - 22/4/21),Club Deportivo Guadalajara: (22/4/20 - 22/4/21),Club Tigres: (22/4/20 - 22/4/21),Club Universidad Nacional: (22/4/20 - 22/4/21),Club Deportivo Cruz Azul: (22/4/20 - 22/4/21)
Nuevo León,12 %,10 %,58 %,8 %,12 %
Jalisco,20 %,45 %,10 %,11 %,14 %
Nayarit,25 %,38 %,9 %,12 %,16 %
Hidalgo,22 %,18 %,10 %,14 %,36 %
Colima,23 %,35 %,10 %,15 %,17 %
Estado de México,24 %,21 %,9 %,17 %,29 %
Aguascalientes,25 %,30 %,11 %,13 %,21 %
Tamaulipas,25 %,20 %,17 %,10 %,28 %
Ciudad de México,24 %,19 %,9 %,21 %,27 %
Guanajuato,21 %,24 %,12 %,20 %,23 %
Veracruz,26 %,20 %,11 %,15 %,28 %
Oaxaca,23 %,19 %,10 %,19 %,29 %
San Luis Potosí,24 %,25 %,15 %,16 %,20 %
Guerrero,26 %,24 %,11 %,17 %,22 %
Michoacán,24 %,28 %,12 %,15 %,21 %
Tlaxcala,25 %,23 %,10 %,15 %,27 %
Zacatecas,27 %,27 %,10 %,14 %,22 %
Morelos,24 %,24 %,10 %,17 %,25 %
Querétaro,23 %,22 %,12 %,17 %,26 %
Baja California Sur,28 %,28 %,10 %,14 %,20 %
Chihuahua,28 %,24 %,11 %,13 %,24 %
Chiapas,24 %,22 %,11 %,20 %,23 %
Tabasco,29 %,20 %,11 %,18 %,22 %
Coahuila de Zaragoza,25 %,21 %,22 %,12 %,20 %
Baja California,28 %,28 %,11 %,13 %,20 %
Campeche,28 %,20 %,12 %,20 %,20 %
Puebla,24 %,22 %,12 %,17 %,25 %
Durango,24 %,25 %,13 %,17 %,21 %
Yucatán,26 %,21 %,11 %,19 %,23 %
Sinaloa,29 %,29 %,12 %,11 %,19 %
Quintana Roo,25 %,23 %,11 %,19 %,22 %
Sonora,28 %,30 %,12 %,12 %,18 %
