Categoría: Todas las categorías

Semana,Club América: (México),Club Deportivo Guadalajara: (México),Club Tigres: (México),Club Universidad Nacional: (México),Club Deportivo Cruz Azul: (México)
2020-04-26,2,2,1,1,2
2020-05-03,2,2,1,1,2
2020-05-10,2,2,1,1,2
2020-05-17,2,2,1,1,3
2020-05-24,4,3,1,1,3
2020-05-31,3,3,1,1,4
2020-06-07,4,4,1,1,5
2020-06-14,3,2,2,2,3
2020-06-21,3,3,1,2,3
2020-06-28,8,4,5,4,5
2020-07-05,12,10,5,10,12
2020-07-12,30,26,12,5,23
2020-07-19,5,27,6,3,28
2020-07-26,16,12,3,7,18
2020-08-02,17,12,7,6,8
2020-08-09,15,27,7,11,19
2020-08-16,16,8,9,6,11
2020-08-23,15,17,8,5,14
2020-08-30,17,8,3,8,11
2020-09-06,13,26,14,9,14
2020-09-13,16,10,7,7,20
2020-09-20,25,28,7,12,6
2020-09-27,27,6,11,7,25
2020-10-04,16,11,4,15,9
2020-10-11,5,7,3,2,5
2020-10-18,20,10,13,6,17
2020-10-25,10,16,5,11,15
2020-11-01,26,21,15,12,14
2020-11-08,4,12,8,11,13
2020-11-15,3,6,2,2,3
2020-11-22,40,54,26,15,20
2020-11-29,43,82,22,44,64
2020-12-06,5,54,3,100,75
2020-12-13,17,4,12,71,23
2020-12-20,28,4,33,3,9
2020-12-27,9,5,2,2,9
2021-01-03,6,14,3,7,7
2021-01-10,13,7,7,2,14
2021-01-17,16,15,9,6,10
2021-01-24,14,4,14,7,13
2021-01-31,17,15,28,6,17
2021-02-07,11,16,81,6,4
2021-02-14,12,14,13,5,15
2021-02-21,12,11,16,6,11
2021-02-28,19,20,17,15,16
2021-03-07,15,12,3,15,17
2021-03-14,45,36,12,3,13
2021-03-21,5,6,2,4,12
2021-03-28,8,5,3,2,12
2021-04-04,19,15,9,8,14
2021-04-11,24,12,16,2,25
2021-04-18,74,25,25,23,78
